"Date","Actual","Previous"
"Sep 18, 2007",4.75,5.25
"Jun 29, 2006",5.25,5
"May 10, 2006",5,4.75
"Mar 28, 2006",4.75,4.5
"Jan 31, 2006",4.5,4.25
"Dec 13, 2005",4.25,4
"Nov 01, 2005",4,3.75
"Sep 20, 2005",3.75,3.5
"Aug 09, 2005",3.5,3.25
"Jun 30, 2005",3.25,3
"May 03, 2005",3,2.75
"Mar 22, 2005",2.75,2.5
"Feb 02, 2005",2.5,2.25
"Dec 14, 2004",2.25,2
"Nov 10, 2004",2,1.75
"Sep 21, 2004",1.75,1.5
"Aug 10, 2004",1.5,1.25
"Jun 30, 2004",1.25,1
"Jun 25, 2003",1,1.25
"Nov 06, 2002",1.25,2
"Nov 06, 2001",2,2.5
"Oct 02, 2001",2.5,3
"Sep 17, 2001",3,3.5
"Aug 21, 2001",3.5,3.75
"Jun 27, 2001",3.75,4
"May 15, 2001",4,4.5
"Apr 18, 2001",4.5,5
"Mar 20, 2001",5,5.5
"Jan 31, 2001",5.5,6
"Jan 03, 2001",6,6.5
"May 16, 2000",6.5,6
"Mar 21, 2000",6,5.75
"Feb 02, 2000",5.75,5.5
"Nov 16, 1999",5.5,5.25
"Aug 24, 1999",5.25,5
"Jun 30, 1999",5,NA
